,Rank,Name,Symbol,Main_link,Historical_link,Coin_id,ATH,ATL,Circulating_Supply,Total_Supply,Max_Supply,Fully_Diluted_Mcap,Dominance%
0,1,Bitcoin,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,https://coinmarketcap.com/currencies/bitcoin/historical-data/,bitcoin,109114.88,0.04864,19.84M BTC,"19,841,653 BTC","21,000,000 BTC",1818236404369,60.4361
1,2,Ethereum,Ethereum,https://coinmarketcap.com/currencies/ethereum/,https://coinmarketcap.com/currencies/ethereum/historical-data/,ethereum,4891.7,0.4208,120.64M ETH,"120,641,812 ETH",--,248273666948,8.7305
2,3,Tether,Tether,https://coinmarketcap.com/currencies/tether/,https://coinmarketcap.com/currencies/tether/historical-data/,tether,1.2155,0.5683,143.77B USDT,"145,879,139,793 USDT",--,145942592537,5.0581
3,4,XRP,XRP,https://coinmarketcap.com/currencies/xrp/,https://coinmarketcap.com/currencies/xrp/historical-data/,xrp,3.8419,0.002802,58.15B XRP,"99,986,323,420 XRP","100,000,000,000 XRP",242481984687,4.959
4,5,BNB,BNB,https://coinmarketcap.com/currencies/bnb/,https://coinmarketcap.com/currencies/bnb/historical-data/,bnb,793.35,0.0961,142.47M BNB,"142,472,769 BNB",--,91590850434,3.2208
5,6,Solana,Solana,https://coinmarketcap.com/currencies/solana/,https://coinmarketcap.com/currencies/solana/historical-data/,solana,294.33,0.5051,511.33M SOL,"596,938,337 SOL",--,83549062477,2.5177
6,7,USDC,USDC,https://coinmarketcap.com/currencies/usd-coin/,https://coinmarketcap.com/currencies/usd-coin/historical-data/,usd-coin,2.3496,0.8774,59.81B USDC,"59,816,704,884 USDC",--,59819489670,2.1035
7,8,Dogecoin,Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,https://coinmarketcap.com/currencies/dogecoin/historical-data/,dogecoin,0.7375,8.547e-05,148.57B DOGE,"148,571,956,384 DOGE",--,27307318200,0.9604
8,9,Cardano,Cardano,https://coinmarketcap.com/currencies/cardano/,https://coinmarketcap.com/currencies/cardano/historical-data/,cardano,3.0992,0.01735,35.23B ADA,"44,994,940,568 ADA","45,000,000,000 ADA",33261189968,0.9159
9,10,TRON,TRON,https://coinmarketcap.com/currencies/tron/,https://coinmarketcap.com/currencies/tron/historical-data/,tron,0.4406,0.001091,95B TRX,"95,007,022,400 TRX",--,21605356591,0.7597
10,11,Chainlink,Chainlink,https://coinmarketcap.com/currencies/chainlink/,https://coinmarketcap.com/currencies/chainlink/historical-data/,chainlink,52.88,0.1262,657.09M LINK,"1,000,000,000 LINK",--,15222888151,0.3518
11,12,Toncoin,Toncoin,https://coinmarketcap.com/currencies/toncoin/,https://coinmarketcap.com/currencies/toncoin/historical-data/,toncoin,8.235,0.3906,2.48B TON,"5,125,518,089 TON",--,18821239668,0.3205
12,13,Avalanche,Avalanche,https://coinmarketcap.com/currencies/avalanche/,https://coinmarketcap.com/currencies/avalanche/historical-data/,avalanche,146.22,2.7888,414.77M AVAX,"451,449,053 AVAX","715,748,719 AVAX",15668173024,0.3193
13,14,UNUS SED LEO,UNUS SED LEO,https://coinmarketcap.com/currencies/unus-sed-leo/,https://coinmarketcap.com/currencies/unus-sed-leo/historical-data/,unus-sed-leo,10.01,0.8035,923.87M LEO,"985,239,504 LEO",--,9630775490,0.3176
14,15,Stellar,Stellar,https://coinmarketcap.com/currencies/stellar/,https://coinmarketcap.com/currencies/stellar/historical-data/,stellar,0.9381,0.001227,30.77B XLM,"50,001,786,893 XLM","50,001,806,812 XLM",14515898666,0.3143
15,16,Hedera,Hedera,https://coinmarketcap.com/currencies/hedera/,https://coinmarketcap.com/currencies/hedera/historical-data/,hedera,0.5701,0.01001,42.21B HBAR,"50,000,000,000 HBAR","50,000,000,000 HBAR",9726707111,0.2888
16,17,Shiba Inu,Shiba Inu,https://coinmarketcap.com/currencies/shiba-inu/,https://coinmarketcap.com/currencies/shiba-inu/historical-data/,shiba-inu,8.845e-05,0.0108164,589.25T SHIB,"589,505,790,607,312 SHIB","589,552,695,333,683 SHIB",7923768630,0.2785
17,18,Sui,Sui,https://coinmarketcap.com/currencies/sui/,https://coinmarketcap.com/currencies/sui/historical-data/,sui,5.3519,0.3643,3.16B SUI,"10,000,000,000 SUI","10,000,000,000 SUI",23658736193,0.2638
18,19,Polkadot,Polkadot,https://coinmarketcap.com/currencies/polkadot-new/,https://coinmarketcap.com/currencies/polkadot-new/historical-data/,polkadot-new,55.0,2.6929,1.56B DOT,"1,561,033,453 DOT",--,7220934465,0.2539
19,20,Litecoin,Litecoin,https://coinmarketcap.com/currencies/litecoin/,https://coinmarketcap.com/currencies/litecoin/historical-data/,litecoin,412.96,1.1137,75.55M LTC,"84,000,000 LTC","84,000,000 LTC",7776114749,0.246
20,21,MANTRA,MANTRA,https://coinmarketcap.com/currencies/mantra/,https://coinmarketcap.com/currencies/mantra/historical-data/,mantra,9.0367,0.01728,985.1M OM,"1,813,303,208 OM",--,12286376432,0.2348
21,22,Bitcoin Cash,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,https://coinmarketcap.com/currencies/bitcoin-cash/historical-data/,bitcoin-cash,4355.62,75.08,19.84M BCH,"19,846,784 BCH","21,000,000 BCH",6912847368,0.2297
22,23,Pi,Pi,https://coinmarketcap.com/currencies/pi/,https://coinmarketcap.com/currencies/pi/historical-data/,pi,2.9816,0.6152,6.76B PI,"100,000,000,000 PI","100,000,000,000 PI",92442251438,0.2199
23,24,Bitget Token,Bitget Token,https://coinmarketcap.com/currencies/bitget-token-new/,https://coinmarketcap.com/currencies/bitget-token-new/historical-data/,bitget-token-new,8.4851,0.05835,1.2B BGB,"1,200,000,000 BGB",--,5890582466,0.2071
24,25,Ethena USDe,Ethena USDe,https://coinmarketcap.com/currencies/ethena-usde/,https://coinmarketcap.com/currencies/ethena-usde/historical-data/,ethena-usde,1.0349,0.9772,5.37B USDe,"5,379,115,150 USDe",--,5377208573,0.1891
25,26,Dai,Dai,https://coinmarketcap.com/currencies/multi-collateral-dai/,https://coinmarketcap.com/currencies/multi-collateral-dai/historical-data/,multi-collateral-dai,3.6684,0.897,5.36B DAI,"5,365,382,703 DAI",--,5366468446,0.1887
26,27,Hyperliquid,Hyperliquid,https://coinmarketcap.com/currencies/hyperliquid/,https://coinmarketcap.com/currencies/hyperliquid/historical-data/,hyperliquid,35.02,3.2003,333.92M HYPE,"999,993,930 HYPE","1,000,000,000 HYPE",15983064375,0.1877
27,28,Uniswap,Uniswap,https://coinmarketcap.com/currencies/uniswap/,https://coinmarketcap.com/currencies/uniswap/historical-data/,uniswap,44.97,0.4189,628.49M UNI,"1,000,000,000 UNI",--,7039774731,0.1556
28,29,Monero,Monero,https://coinmarketcap.com/currencies/monero/,https://coinmarketcap.com/currencies/monero/historical-data/,monero,517.62,0.2129,18.44M XMR,"18,446,744 XMR",--,4094241350,0.144
29,30,Aptos,Aptos,https://coinmarketcap.com/currencies/aptos/,https://coinmarketcap.com/currencies/aptos/historical-data/,aptos,19.9,3.087,603.37M APT,"1,145,387,409 APT",--,6862290313,0.1271
30,31,NEAR Protocol,NEAR Protocol,https://coinmarketcap.com/currencies/near-protocol/,https://coinmarketcap.com/currencies/near-protocol/historical-data/,near-protocol,20.42,0.5259,1.19B NEAR,"1,241,667,295 NEAR",--,3638304313,0.1234
31,32,Pepe,Pepe,https://coinmarketcap.com/currencies/pepe/,https://coinmarketcap.com/currencies/pepe/historical-data/,pepe,2.824e-05,0.0101062,420.68T PEPE,"420,689,899,653,544 PEPE","420,690,000,000,000 PEPE",3358065305,0.1181
32,33,OKB,OKB,https://coinmarketcap.com/currencies/okb/,https://coinmarketcap.com/currencies/okb/historical-data/,okb,73.83,1.2531,60M OKB,"300,000,000 OKB",--,14987589151,0.1054
33,34,Internet Computer,Internet Computer,https://coinmarketcap.com/currencies/internet-computer/,https://coinmarketcap.com/currencies/internet-computer/historical-data/,internet-computer,750.73,0.0,481.8M ICP,"530,682,885 ICP",--,3214078542,0.1026
34,35,Cronos,Cronos,https://coinmarketcap.com/currencies/cronos/,https://coinmarketcap.com/currencies/cronos/historical-data/,cronos,0.9698,0.01148,26.57B CRO,"30,000,000,000 CRO",--,3272493303,0.1019
35,36,Ondo,Ondo,https://coinmarketcap.com/currencies/ondo-finance/,https://coinmarketcap.com/currencies/ondo-finance/historical-data/,ondo-finance,2.1413,0.08354,3.15B ONDO,"10,000,000,000 ONDO",--,9001419940,0.1
36,37,Aave,Aave,https://coinmarketcap.com/currencies/aave/,https://coinmarketcap.com/currencies/aave/historical-data/,aave,666.86,0.0,15.09M AAVE,"16,000,000 AAVE",--,3014035464,0.1
37,38,Mantle,Mantle,https://coinmarketcap.com/currencies/mantle/,https://coinmarketcap.com/currencies/mantle/historical-data/,mantle,1.5051,0.3136,3.36B MNT,"6,219,316,795 MNT","6,219,316,795 MNT",5222919581,0.0994
38,39,Ethereum Classic,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,https://coinmarketcap.com/currencies/ethereum-classic/historical-data/,ethereum-classic,176.16,0.4524,151.25M ETC,"210,700,000 ETC","210,700,000 ETC",3850279378,0.0972
39,40,First Digital USD,First Digital USD,https://coinmarketcap.com/currencies/first-digital-usd/,https://coinmarketcap.com/currencies/first-digital-usd/historical-data/,first-digital-usd,1.0596,0.9119,2.45B FDUSD,"2,455,156,634 FDUSD",--,2451330441,0.0862
40,41,POL (prev. MATIC),POL (prev. MATIC),https://coinmarketcap.com/currencies/polygon-ecosystem-token/,https://coinmarketcap.com/currencies/polygon-ecosystem-token/historical-data/,polygon-ecosystem-token,1.2857,0.1934,10.39B POL,"10,390,381,896 POL",--,2292697407,0.0806
41,42,OFFICIAL TRUMP,OFFICIAL TRUMP,https://coinmarketcap.com/currencies/official-trump/,https://coinmarketcap.com/currencies/official-trump/historical-data/,official-trump,75.35,6.2434,199.99M TRUMP,"999,999,472 TRUMP","999,999,993.45 TRUMP",11420342953,0.0803
42,43,VeChain,VeChain,https://coinmarketcap.com/currencies/vechain/,https://coinmarketcap.com/currencies/vechain/historical-data/,vechain,0.2782,0.001677,85.98B VET,"85,985,041,177 VET","86,712,634,466 VET",2279853626,0.0795
43,44,Bittensor,Bittensor,https://coinmarketcap.com/currencies/bittensor/,https://coinmarketcap.com/currencies/bittensor/historical-data/,bittensor,767.68,30.4,8.47M TAO,"8,477,596 TAO","21,000,000 TAO",5593272968,0.0794
