Coin_id,Commits_count,Stars_count,Forks_count,Contributors_count,Github_link
bitcoin,44243,82600.0,37000.0,985,https://github.com/bitcoin/bitcoin
ethereum,15817,48600.0,20700.0,1130,https://github.com/ethereum/go-ethereum
xrp,13264,4800.0,1500.0,136,https://github.com/ripple/rippled
bnb,17029,3000.0,1600.0,647,https://github.com/bnb-chain/bsc
solana,5995,3800.0,2200.0,240,https://github.com/solana-labs/solana-program-library
usd-coin,886,590,400,27,https://github.com/centrehq/centre-tokens
dogecoin,,14900.0,3000.0,,https://github.com/dogecoin/dogecoin/blob/master/README.md
tron,18439,3800.0,1400.0,200,https://github.com/tronprotocol/java-tron
chainlink,25839,7200.0,1800.0,273,https://github.com/smartcontractkit/chainlink
toncoin,897,3500.0,1200.0,53,https://github.com/ton-blockchain/ton
avalanche,10397,2200.0,727,146,https://github.com/ava-labs/avalanchego
stellar,10289,3200.0,989,95,https://github.com/stellar/stellar-core
hedera,14,28,5,4,https://github.com/hashgraph/hedera-smart-contract-starter
shiba-inu,,,,,https://github.com/shytoshikusama/woofwoofpaper/raw/main/SHIBA_INU_WOOF_WOOF.pdf
sui,16095,6700.0,11400.0,410,https://github.com/MystenLabs/sui
polkadot-new,18501,2200.0,867,383,https://github.com/paritytech/polkadot-sdk
litecoin,26829,4500.0,37000.0,,https://github.com/litecoin-project/litecoin
pi,,3800.0,929,,https://github.com/orgs/pi-apps/
ethena-usde,5,31,22,,https://github.com/ethena-labs/code4arena-contest
monero,11991,9300.0,3200.0,291,https://github.com/monero-project/monero
aptos,22433,6300.0,3700.0,526,https://github.com/aptos-labs/aptos-core
near-protocol,8332,2400.0,688,215,https://github.com/near/nearcore
internet-computer,31123,1600.0,339,168,https://github.com/dfinity/ic
cronos,502,507,360,27,https://github.com/crypto-org-chain/chain-main
ondo-finance,5,21,19,2,https://github.com/ondoprotocol/ondo-v1
aave,,1400.0,566,,https://github.com/aave/aave-protocol/blob/master/docs/Aave_Protocol_Whitepaper_v1_0.pdf
mantle,916,245,107,27,https://github.com/mantlenetworkio/mantle
ethereum-classic,8122,181,233,94,https://github.com/ethereumclassic/ethereumclassic.github.io
polygon-ecosystem-token,1898,1200.0,510,21,https://github.com/maticnetwork/contracts
bittensor,6387,1100.0,361,99,https://github.com/opentensor/BitTensor
vechain,3568,793,248,33,https://github.com/vechain/thor
celestia,2823,963,983,80,https://github.com/celestiaorg/celestia-node
ethena,5,31,22,,https://github.com/ethena-labs/code4arena-contest
gatetoken,234,12,7,11,https://github.com/gatechain/gatechain-docs
filecoin,398,486,171,64,https://github.com/filecoin-project/community
kaspa,437,571,184,31,https://github.com/kaspanet/rusty-kaspa
cosmos,14159,6500.0,3800.0,664,https://github.com/cosmos/cosmos-sdk
algorand,4470,1400.0,493,118,https://github.com/algorand/go-algorand
story-protocol,359,59,48,19,https://github.com/piplabs/story
optimism-ethereum,20255,6000.0,3500.0,410,https://github.com/ethereum-optimism/optimism
dexe,646,25,8,8,https://github.com/dexe-network/DeXe-Protocol/
artificial-superintelligence-alliance,391,1300.0,269,63,https://github.com/fetchai/uAgents
xdc-network,12919,55,20700.0,,https://github.com/XinFinOrg/XDPoSChain
movement,3813,143,89,19,https://github.com/movementlabsxyz/movement
worldcoin-org,94,896,156,12,https://github.com/worldcoin/awesome-zkml
maker,51,858,494,10,https://github.com/makerdao/multicall
bonk1,58,9,2,2,https://github.com/BonkLabs/bonk-rewards-snapshots
stacks,27161,3000.0,692,114,https://github.com/stacks-network/stacks-core
injective,7391,107,79,23,https://github.com/InjectiveLabs/injective-helix-demo
the-graph,1634,352,152,29,https://github.com/graphprotocol/contracts
sei,,2800.0,825,,https://github.com/sei-protocol/sei-chain/blob/main/whitepaper/Sei_Whitepaper.pdf
theta-network,2018,365,88,8,https://github.com/thetatoken/theta-protocol-ledger
lido-dao,5710,405,213,44,https://github.com/lidofinance/core
quant,81,21,100,3,https://github.com/quantnetwork/blockchain-developer-exercises-foundations
eos,23631,118,71,241,https://github.com/AntelopeIO/leap
flare,67,63,33,7,https://github.com/flare-foundation/go-flare
pancakeswap,9502,2800.0,3600.0,127,https://github.com/pancakeswap/pancake-frontend
nexo,3,107,49,,https://github.com/nexofinance/NEXO-Token/
bitcoin-sv,18949,666,301,468,https://github.com/bitcoin-sv/bitcoin-sv
iota,15702,46,24,62,https://github.com/iotaledger/iota
bittorrent-new,170,1100.0,265,23,https://github.com/bittorrent/libutp
flow,47797,543,185,79,https://github.com/onflow/flow-go
pax-gold,9,65,47,4,https://github.com/paxosglobal/paxos-gold-contract
floki-inu,69,14,5,,https://github.com/Floki-Inu/token
curve-dao-token,898,1100.0,393,10,https://github.com/curvefi/curve-contract
kaia,7935,33,35,61,https://github.com/kaiachain/kaia
ethereum-name-service,1134,626,425,29,https://github.com/ensdomains/ens-contracts
pyth-network,450,178,110,35,https://github.com/pyth-network/pyth-client
helium,2443,129,52,14,https://github.com/helium/helium-program-library
neo,1891,3500.0,1000.0,70,https://github.com/neo-project/neo
